probability_prompt,count_prompt
,93
,9.09
0.93,
,9.1
0.09,
0.09,
,9
,9.1
0.4,
,1
0.93,
,10
0.65,
,9
,9.09
0.92,
0.98,
0.72,
,9
,9
0.1,
,9
0.63,
0.09,
,10.7
0.09,
,9
1,
,9
,9
0.8,
,9
,7.7
0.75,
0.09,
0.99,
,9
0.98,
,10
0.93,
,9
0.05,
0.83,
,1
0.2,
,9
,0.07
,10
0.06,
,9
,9.09
0.98,
,9
,6
0.14,
,9
0.11,
0.98,
,9
0.88,
,9
0.72,
,9
,9
0.1,
,0.09
,0.1
0.01,
,56
0.93,
0.75,
,7
,9
0.93,
,9
,9.09
0.1,
0.09,
0.93,
0.09,
,9
0.93,
,9
,9.09
,10
0.93,
,9
0.98,
0.84,
,9
0.7,
,9
,9
,9
0.97,
0.5,
0.93,
0.8,
,9
0.93,
,9
,9
0.53,
,87.5
0.7,
0.72,
0.09,
,9
,10
,9
0.05,
0.8,
0.7,
,87.5
,9
0.56,
,9
,40
0.88,
,7
0.09,
,9
0.07,
,9
0.53,
,9.9
0.8,
0.84,
,10
0.63,
,9
0.9,
,0.8
,9
,10
0.72,
0.1,
0.02,
,10
0.4,
0.6,
,9.09
,11
0.98,
0.09,
,9
0.09,
0.1,
,9
0.09,
0.09,
,9
0.93,
0.09,
0.72,
0.06,
,9
,9
,9.09
0.8,
,9
0.1,
0.09,
,9
0.51,
,9
0.2,
0.09,
,10
,9
,0.09
0.9,
0.09,
,7.7
0.72,
,9
0.07,
,9
,9
0.72,
,9
0.01,
0.98,
,10
0.83,
,10
0.84,
0.72,
,9
,9
,0.09
0.3,
,9.09
0.09,
0.93,
,0.09
0.08,
0.9,
,10
,9.09
0.01,
,9
,10
0.98,
0.9,
,9
0.1,
,10
,9
,9.09
0.92,
,10.38
0.09,
0.7,
,9
,9
,9
,9
0.9,
0.98,
,10
,9
0.01,
,9
,9
0.93,
,9
,9
0.56,
,9
0.72,
0.92,
,9
,6
0.09,
,0.8
0.09,
0.1,
0.72,
,9
0.92,
,10
0.98,
0.51,
,0.11
0.98,
,0.09
0.93,
,0.09
0.93,
,0.9
,7
0.72,
,20
,10
0.09,
0.98,
,9
,9
0.73,
,9
0.1,
0.92,
,10
0.75,
0.97,
0.83,
,7.7
0.92,
,8.8
,9.1
0.72,
0.12,
0.58,
,11
,9
0.72,
,9
,9
0.93,
0.98,
0.93,
0.8,
,10
0.93,
,9
,9.21
0.8,
0.07,
0.93,
,9
,5
,1
0.93,
,9
,14.3
0.9,
0.1,
0.72,
0.9,
,9
,9
0.08,
,79
0.56,
0.05,
,9
0.99,
,9.1
,9.09
,9
0.09,
0.79,
,9
0.98,
0.09,
0.72,
,9
0.09,
0.9,
,9
,9
0.84,
,9.1
0.07,
,10
0.09,
0.84,
0.09,
,9
,9.4
0.98,
0.09,
,15
,9
0.09,
,9
0.09,
,15
0.09,
,9
0.93,
0.09,
,11
0.09,
0.7,
,9.09
,9
0.98,
0.08,
,0.7
,9.09
0.9,
0.84,
,9
0.1,
,9
,9.09
0.93,
0.91,
0.09,
,0.09
0.09,
,0.98
,9
0.53,
,9
0.8,
0.09,
,10
0.93,
,10
,10.39
0.09,
,9
,87.5
,9
,9
0.5,
0.82,
,9
0.1,
,0.09
0.93,
,10
,9
0.92,
0.92,
,9
,9.09
0.6,
0.01,
0.09,
,9
,9
0.09,
0.1,
0.87,
,10
0.09,
,89.7
0.72,
0.09,
,9
,9
,0.09
0.4,
,1.4
,9
0.84,
,0.99
0.09,
,9
0.93,
,10
,10
,10
,7.7
0.51,
0.09,
0.1,
,9
,9
,11
0.01,
0.72,
0.09,
0.9,
,9
,9
,9
0.01,
,10
0.12,
,9
0.73,
,10
0.9,
,9
0.09,
0.07,
0.88,
,9
0.93,
,9
,11
0.07,
,12
0.09,
,9
,9
,9
0.5,
0.05,
0.09,
,9
0.93,
0.7,
,0.09
0.93,
,9
,9
0.07,
0.4,
,9
0.93,
,7.7
0.98,
0.75,
,1
,9
,9.1
,0.06
,
,
0.1,
,9
0.08,
0.82,
,8.97
,9
0.5,
,1
,10
,10
0.8,
,9
0.97,
0.82,
0.09,
,9
0.83,
,0.13
,7.7
,0.8
0.51,
,11
,9
,9
0.09,
0.93,
,8
0.09,
0.3,
0.73,
,10
,9
0.98,
,9
,9
0.09,
0.09,
,11
0.9,
,9.1
,9
,9
,0.7
0.1,
0.09,
,87.5
0.8,
0.09,
0.75,
,9
,0.09
0.83,
,9
,7.7
0.07,
,9
0.98,
,88
0.93,
,9.1
,9
0.09,
,9
,9
0.09,
0.7,
,9
0.93,
0.8,
,87.5
,9
,0.09
0.08,
0.83,
,9
,0.09
,9
,10
0.9,
,9
0.72,
,9
0.1,
,9.09
,75
0.89,
0.72,
,12.48
0.3,
0.09,
,9
,9.1
0.09,
,9
,9.1
0.14,
0.84,
,10
,0.09
0.1,
0.7,
,9
0.93,
,0.09
,9
0.01,
0.98,
,9
,9
0.98,
,10
0.63,
,9
0.01,
,0.82
0.5,
,9
,0.09
0.9,
